Rule ID,Antecedent 1,Antecedent 2,Consequent,Support %,Confidence %,Rule Support %,Lift
1,22698,22699,22697,2.104,89.45,2.104,23.991
2,22697,22698,22699,2.104,84.783,2.104,20.067
3,22698,,22697,2.482,82.734,2.482,22.19
4,22698,,22699,2.353,78.417,2.353,18.561
5,22697,,22699,2.919,78.292,2.919,18.531
6,23300,,23301,2.498,72.913,2.498,17.874
7,22697,22699,22698,2.104,72.089,2.104,24.029
8,22698,,22697,2.104,70.144,2.104,24.029
9,22699,,22697,2.919,69.093,2.919,18.531
10,22630,,22629,2.288,68.831,2.288,18.12
11,21733,,85123A,2.466,67.305,2.466,6.306
12,22726,,22727,2.86,67.174,2.86,14.195
13,22697,,22698,2.482,66.57,2.482,22.19
14,22910,,22086,2.433,64.706,2.433,12.237
15,22728,,22727,2.137,64.6,2.137,13.652
16,85099F,,85099B,2.234,63.303,2.234,7.332
17,22386,,85099B,2.946,62.687,2.946,7.261
18,23301,,23300,2.498,61.243,2.498,17.874
19,22727,,22726,2.86,60.433,2.86,14.195
20,22629,,22630,2.288,60.227,2.288,18.12
21,82494L,,82482,2.525,57.707,2.525,12.209
22,22697,,22698,2.104,56.44,2.104,23.991
23,22384,,20725,2.822,56.176,2.822,8.077
24,21931,,85099B,2.342,56.072,2.342,6.495
25,22699,,22698,2.353,55.683,2.353,18.561
26,23202,,23203,2.309,55.44,2.309,9.514
